,Sample_Name,Sample_Plate_ID,Sample_Taxa,Species,Individual,Plant_ID,Primer_Plate,Primer_Plate_cell,Year_sampled,Year_arrived,Age,Location,X_cor,Y_cor,Date_collected,Time_collected,Status,L_0_note,L_120_note,L_240_note,L_0_use,L_120_use,L_240_use,L_average_use,pH,tare,soil_0,soil_72,theta_d_72,theta_w_72,Individual.New
Ammophila_1_2016,2016F5_1_A_1_0,2016_Fungi_5,Fungi,Ammophila,Ammophila_1,2016_A_1,Plate_10,A1,2016,1997,19,BMR,-123.069148,38.320582,12-Jul,14:41,Alive,L,NA,NA,0,0,0,0,8.32,2.168,17.168,17.103,0.004352193,0.004333333,Ammophila_1_2016
Ammophila_20_2016,2016F5_26_A_20_0,2016_Fungi_5,Fungi,Ammophila,Ammophila_20,2016_A_20,Plate_10,B4,2016,2001,15,Sonoma,-123.068899,38.321,14-Jul,9:45,Alive,Ice,NA,NA,0,0,0,0,8.45,2.271,17.269,17.207,0.004151044,0.004133885,Ammophila_20_2016
Ammophila_21_2016,2016F2_63_A_21_0,2016_Fungi_2,Fungi,Ammophila,Ammophila_21,2016_A_21,Plate_2,G8,2016,2006,10,Sonoma,-123.068084,38.32211,13-Jul,14:53,Alive,NA,NA,NA,0,0,0,0,7.77,2.322,17.322,17.261,0.004083272,0.004066667,Ammophila_21_2016
Ammophila_22_2016,2016F3_29_A_22_0,2016_Fungi_3,Fungi,Ammophila,Ammophila_22,2016_A_22,Plate_3,E4,2016,2011,5,Sonoma,-123.069495,38.321144,13-Jul,11:05,Alive,NA,NA,NA,0,0,0,0,8.6,2.313,17.311,17.161,0.010102371,0.010001334,Ammophila_22_2016
Ammophila_23_2016,2016F3_16_A_23_120,2016_Fungi_3,Fungi,Ammophila,Ammophila_23,2016_A_23,Plate_3,H2,2016,1998,18,Sonoma,-123.067904,38.321515,13-Jul,16:57,Alive,NA,NA,NA,0,0,0,0,8.77,2.166,17.161,17.107,0.003614216,0.0036012,Ammophila_23_2016
Ammophila_24_2016,2016F4_51_A_24_0,2016_Fungi_4,Fungi,Ammophila,Ammophila_24,2016_A_24,Plate_4,C7,2016,1999,17,Sonoma,-123.067337,38.322281,13-Jul,10:03,Alive,L,L,NA,0,0,0,0,8.73,2.231,17.233,17.195,0.002539428,0.002532996,Ammophila_24_2016
Ammophila_25_2016,2016F3_54_A_25_0,2016_Fungi_3,Fungi,Ammophila,Ammophila_25,2016_A_25,Plate_3,F7,2016,2011,5,Sonoma,-123.069134,38.321059,14-Jul,10:36,Alive,NA,NA,NA,0,0,0,0,8.76,2.257,17.157,17.112,0.003029283,0.003020134,Ammophila_25_2016
Ammophila_26_2016,2016F4_10_A_26_120,2016_Fungi_4,Fungi,Ammophila,Ammophila_26,2016_A_26,Plate_4,B2,2016,1991,25,Sonoma,-123.06982,38.321189,14-Jul,11:23,Alive,NA,NA,NA,0,0,0,0,8.41,2.202,17.208,17.16,0.003208985,0.003198721,Ammophila_26_2016
Ammophila_27_2016,2016F4_63_A_27_0,2016_Fungi_4,Fungi,Ammophila,Ammophila_27,2016_A_27,Plate_4,G8,2016,1999,17,Sonoma,-123.068817,38.320867,14-Jul,9:37,Alive,L,L,NA,0,0,0,0,8.31,2.199,17.199,17.155,0.002941963,0.002933333,Ammophila_27_2016
Ammophila_28_2016,2016F4_29_A_28_0,2016_Fungi_4,Fungi,Ammophila,Ammophila_28,2016_A_28,Plate_4,E4,2016,2010,6,Sonoma,-123.068438,38.321364,13-Jul,17:46,Alive,NA,NA,NA,0,0,0,0,8.71,2.18,17.177,17.055,0.008201681,0.00813496,Ammophila_28_2016
Ammophila_29_2016,2016F3_77_A_29_0,2016_Fungi_3,Fungi,Ammophila,Ammophila_29,2016_A_29,Plate_3,E10,2016,2006,10,Sonoma,-123.069168,38.320997,14-Jul,10:40,Alive,NA,NA,NA,0,0,0,0,8.57,2.314,17.311,17.255,0.003748076,0.00373408,Ammophila_29_2016
Ammophila_2_2016,2016F3_50_A_2_0,2016_Fungi_3,Fungi,Ammophila,Ammophila_2,2016_A_2,Plate_3,B7,2016,2010,6,BMR,-123.069804,38.320152,12-Jul,11:03,Alive,NA,NA,NA,0,0,0,0,6.91,2.243,17.243,17.164,0.005294551,0.005266667,Ammophila_2_2016
Ammophila_30_2016,2016F5_14_A_30_120,2016_Fungi_5,Fungi,Ammophila,Ammophila_30,2016_A_30,Plate_10,F2,2016,1996,20,Sonoma,-123.067563,38.321705,13-Jul,15:05,Alive,NA,NA,NA,0,0,0,0,8.6,2.207,17.206,17.161,0.003009228,0.0030002,Ammophila_30_2016
Ammophila_3_2016,2016F5_15_A_3_120,2016_Fungi_5,Fungi,Ammophila,Ammophila_3,2016_A_3,Plate_10,G2,2016,2013,3,BMR,-123.070392,38.320467,12-Jul,11:45,Alive,NA,NA,NA,0,0,0,0,7.74,2.224,17.221,17.077,0.009695011,0.00960192,Ammophila_3_2016
Ammophila_4_2016,2016F5_11_A_4_120,2016_Fungi_5,Fungi,Ammophila,Ammophila_4,2016_A_4,Plate_10,C2,2016,2005,11,BMR,-123.070117,38.320923,12-Jul,17:28,Alive,NA,NA,NA,0,0,0,0,8.31,2.139,17.142,17.063,0.005293487,0.005265614,Ammophila_4_2016
Ammophila_5_2016,2016F3_73_A_5_0,2016_Fungi_3,Fungi,Ammophila,Ammophila_5,2016_A_5,Plate_3,A10,2016,2002,14,BMR,-123.069443,38.319924,12-Jul,22:39,Alive,NA,NA,NA,0,0,0,0,7.41,2.184,17.188,17.1,0.005899705,0.005865103,Ammophila_5_2016
Ammophila_6_2016,2016F2_32_A_6_0,2016_Fungi_2,Fungi,Ammophila,Ammophila_6,2016_A_6,Plate_2,H4,2016,1995,21,BMR,-123.069406,38.319783,12-Jul,10:20,Alive,NA,NA,NA,0,0,0,0,7.84,2.291,17.296,17.198,0.006574093,0.006531156,Ammophila_6_2016
Ammophila_7_2016,2016F4_54_A_7_0,2016_Fungi_4,Fungi,Ammophila,Ammophila_7,2016_A_7,Plate_4,F7,2016,2009,7,BMR,-123.069281,38.319697,12-Jul,10:16,Dying,NA,NA,NA,0,0,0,0,8.8,2.238,17.233,17.156,0.00516155,0.005135045,Ammophila_7_2016
Ammophila_8_2016,2016F4_14_A_8_120,2016_Fungi_4,Fungi,Ammophila,Ammophila_8,2016_A_8,Plate_4,F2,2016,1991,25,BMR,-123.069366,38.319533,12-Jul,10:07,Alive,NA,NA,NA,0,0,0,0,8.4,2.243,17.237,17.112,0.008406752,0.008336668,Ammophila_8_2016
Ammophila_9_2016,2016F2_16_A_9_120,2016_Fungi_2,Fungi,Ammophila,Ammophila_9,2016_A_9,Plate_2,H2,2016,1994,22,BMR,-123.070085,38.320076,12-Jul,9:52,Dead,Ice,NA,NA,0,0,0,0,7.24,2.314,17.312,17.255,0.003815006,0.003800507,Ammophila_9_2016
Baccharis_10_2016,2016F3_10_B_10_120,2016_Fungi_3,Fungi,Baccharis,Baccharis_10,2016_B_10,Plate_3,B2,2016,2011,14,BMR,-123.069885,38.319896,12-Jul,9:43,Alive,NA,NA,NA,0.6,0,0.8,0.466666667,7.11,2.215,17.217,17.163,0.003612523,0.00359952,Baccharis_10_2016
Baccharis_11_2016,2016F3_49_B_11_0,2016_Fungi_3,Fungi,Baccharis,Baccharis_11,2016_B_11,Plate_3,A7,2016,2002,20,BMR,-123.069091,38.31992,12-Jul,10:28,Alive,Am,NA,Am,0.7,1.4,2.7,1.6,8.39,2.378,17.382,17.332,0.003343587,0.003332445,Baccharis_11_2016
Baccharis_12_2016,2016F2_12_B_12_120,2016_Fungi_2,Fungi,Baccharis,Baccharis_12,2016_B_12,Plate_2,D2,2016,1996,20,BMR,-123.070429,38.320604,29-Jun,16:05,Alive,Am,NA,L,0.5,1.8,1.4,1.233333333,8.1,2.215,17.212,17.117,0.006374983,0.0063346,Baccharis_12_2016
Baccharis_13_2016,2016F2_78_B_13_0,2016_Fungi_2,Fungi,Baccharis,Baccharis_13,2016_B_13,Plate_2,F10,2016,2013,3,BMR,-123.069965,38.320315,29-Jun,15:29,Alive,Am,Am,NA,0,0,0,0,8.64,2.28,17.3,17.202,0.006567484,0.006524634,Baccharis_13_2016
Baccharis_14_2016,2016F2_29_B_14_0,2016_Fungi_2,Fungi,Baccharis,Baccharis_14,2016_B_14,Plate_2,E4,2016,2006,10,BMR,-123.070321,38.320964,29-Jun,16:37,Alive,Am,Am,Am,0,1.5,1.5,1,7.95,2.249,17.258,17.135,0.008262797,0.008195083,Baccharis_14_2016
Baccharis_15_2016,2016F4_31_B_15_0,2016_Fungi_4,Fungi,Baccharis,Baccharis_15,2016_B_15,Plate_4,G4,2016,1991,25,BMR,-123.069471,38.320307,12-Jul,11:15,Dying,Am,NA,NA,1.2,2.6,2.5,2.1,6.91,2.284,17.282,17.194,0.005902079,0.005867449,Baccharis_15_2016
Baccharis_16_2016,2016F2_4_B_16_240,2016_Fungi_2,Fungi,Baccharis,Baccharis_16,2016_B_16,Plate_2,D1,2016,1998,18,Sonoma,-123.068545,38.321976,30-Jun,17:26,Dying,Am_Ice,Ice,Ice,1.5,3.5,8.5,4.5,8.28,2.293,17.376,17.347,0.001926398,0.001922694,Baccharis_16_2016
Baccharis_17_2016,2016F1_64_B_17_0,2016_Fungi_1,Fungi,Baccharis,Baccharis_17,2016_B_17,Plate_1,H8,2016,2010,6,Sonoma,-123.069243,38.32116,30-Jun,14:57,Alive,NA,NA,NA,0,0,0,0,8.35,2.262,17.276,17.264,0.000799893,0.000799254,Baccharis_17_2016
Baccharis_18_2016,2016F4_78_B_18_0,2016_Fungi_4,Fungi,Baccharis,Baccharis_18,2016_B_18,Plate_4,F10,2016,2006,10,Sonoma,-123.068728,38.321153,13-Jul,18:02,Alive,Am,Am,Am,0,0,0,0,8.5,2.295,17.295,17.203,0.006171183,0.006133333,Baccharis_18_2016
Baccharis_19_2016,2016F4_42_B_19_0,2016_Fungi_4,Fungi,Baccharis,Baccharis_19,2016_B_19,Plate_4,B6,2016,2001,15,Sonoma,-123.0675,38.322259,13-Jul,10:02,Dying,NA,NA,Am_Ice,2.7,1.8,0,1.5,7.9,2.25,17.251,17.207,0.002941766,0.002933138,Baccharis_19_2016
Baccharis_1_2016,2016F1_29_B_1_0,2016_Fungi_1,Fungi,Baccharis,Baccharis_1,2016_B_1,Plate_1,E4,2016,2001,15,BMR,-123.069454,38.319999,29-Jun,14:55,Alive,L,NA,NA,0,0,0,0,8.27,2.21,17.218,17.168,0.003342693,0.003331557,Baccharis_1_2016
Baccharis_20_2016,2016F1_78_B_20_0,2016_Fungi_1,Fungi,Baccharis,Baccharis_20,2016_B_20,Plate_1,F10,2016,2011,5,Sonoma,-123.069292,38.320895,29-Jun,17:17,Alive,NA,NA,NA,0.5,0,0,0.166666667,8.58,2.266,17.27,17.128,0.009554569,0.009464143,Baccharis_20_2016
Baccharis_21_2016,2016F3_14_B_21_120,2016_Fungi_3,Fungi,Baccharis,Baccharis_21,2016_B_21,Plate_3,F2,2016,2013,11,Sonoma,-123.069256,38.321048,13-Jul,11:00,Alive,Am,Am,Am,0,0,0,0,8.58,2.318,17.319,17.27,0.003277154,0.003266449,Baccharis_21_2016
Baccharis_22_2016,2016F4_53_B_22_0,2016_Fungi_4,Fungi,Baccharis,Baccharis_22,2016_B_22,Plate_4,E7,2016,2005,7,Sonoma,-123.068388,38.321611,13-Jul,17:34,Dying,Am,Am_Br,L,1.8,2.2,0,1.333333333,8.56,2.272,17.278,17.203,0.005023106,0.004998001,Baccharis_22_2016
Baccharis_23_2016,2016F2_15_B_23_120,2016_Fungi_2,Fungi,Baccharis,Baccharis_23,2016_B_23,Plate_2,G2,2016,2009,12,Sonoma,-123.06903,38.320884,14-Jul,10:05,Alive,Am,Am_L,Am,1.2,1.4,1.4,1.333333333,8.07,2.3,17.3,17.242,0.003881676,0.003866667,Baccharis_23_2016
Baccharis_24_2016,2016F4_66_B_24_0,2016_Fungi_4,Fungi,Baccharis,Baccharis_24,2016_B_24,Plate_4,B9,2016,2004,16,Sonoma,-123.069779,38.321211,14-Jul,11:15,Alive,Am,Am,Am,1.6,1.8,1.9,1.766666667,8.23,2.355,17.36,17.269,0.006101649,0.006064645,Baccharis_24_2016
Baccharis_25_2016,2016F1_11_B_25_120,2016_Fungi_1,Fungi,Baccharis,Baccharis_25,2016_B_25,Plate_1,C2,2016,2000,16,Sonoma,-123.069296,38.320983,30-Jun,15:12,Alive,NA,Am,NA,0,0,0,0,7.96,2.239,17.236,17.093,0.009627036,0.00953524,Baccharis_25_2016
Baccharis_26_2016,2016F2_73_B_26_0,2016_Fungi_2,Fungi,Baccharis,Baccharis_26,2016_B_26,Plate_2,A10,2016,2009,7,Sonoma,-123.067563,38.321775,30-Jun,9:47,Alive,Am_Ice,NA,Ice_L,1.9,1.3,1.8,1.666666667,8.31,2.252,17.305,17.283,0.001463642,0.001461503,Baccharis_26_2016
Baccharis_27_2016,2016F1_32_B_27_0,2016_Fungi_1,Fungi,Baccharis,Baccharis_27,2016_B_27,Plate_1,H4,2016,1997,19,Sonoma,-123.067527,38.321817,30-Jun,10:00,Dying,Am,NA,Am,1.5,3,1.7,2.066666667,7.34,2.353,17.364,17.342,0.001467743,0.001465592,Baccharis_27_2016
Baccharis_28_2016,2016F2_28_B_28_0,2016_Fungi_2,Fungi,Baccharis,Baccharis_28,2016_B_28,Plate_2,D4,2016,1993,23,Sonoma,-123.06747,38.322602,30-Jun,12:00,Dying,Am,Am,Am,1,2,1.5,1.5,8.19,2.222,17.215,17.155,0.004017947,0.004001868,Baccharis_28_2016
Baccharis_29_2016,2016F3_15_B_29_120,2016_Fungi_3,Fungi,Baccharis,Baccharis_29,2016_B_29,Plate_3,G2,2016,2007,9,Sonoma,-123.067887,38.32196,13-Jul,11:38,Alive,Am,Am,Am,0,0.9,2.1,1,7.28,2.25,17.251,17.204,0.003142972,0.003133124,Baccharis_29_2016
Baccharis_2_2016,2016F5_10_B_2_120,2016_Fungi_5,Fungi,Baccharis,Baccharis_2,2016_B_2,Plate_10,B2,2016,2005,11,BMR,-123.069764,38.320446,12-Jul,11:34,Alive,Am_Ice,Ice,NA,1.1,0.8,1.2,1.033333333,6.65,2.27,17.271,17.235,0.002405613,0.00239984,Baccharis_2_2016
Baccharis_30_2016,2016F4_75_B_30_0,2016_Fungi_4,Fungi,Baccharis,Baccharis_30,2016_B_30,Plate_4,C10,2016,1996,20,Sonoma,-123.067878,38.321722,13-Jul,16:45,Dying,Am_L,Am,Am,2,2.1,1.8,1.966666667,8.31,2.192,17.187,17.126,0.004084639,0.004068023,Baccharis_30_2016
Baccharis_31_2016,2016F3_28_B_31,2016_Fungi_3,Fungi,Baccharis,Baccharis_31,2016_B_31,Plate_3,D4,2016,2016,0.5,BMR,-123.070017,38.32035,29-Jun,NA,Baby,NA,NA,NA,0,0,0,0,7.91,2.2,17.19,17.094,0.006445549,0.00640427,Baccharis_31_2016
Baccharis_32_2016,2016F3_36_B_32,2016_Fungi_3,Fungi,Baccharis,Baccharis_32,2016_B_32,Plate_3,D5,2016,2016,0.5,Sonoma,-123.06765,38.321717,30-Jun,NA,Baby,NA,NA,NA,0,0,0,0,8.73,2.237,17.24,17.092,0.009962975,0.009864694,Baccharis_32_2016
Baccharis_3_2016,2016F2_34_B_3_120,2016_Fungi_2,Fungi,Baccharis,Baccharis_3,2016_B_3,Plate_2,B5,2016,2010,6,BMR,-123.069961,38.320786,29-Jun,17:05,Alive,Am,Am_Ice,Am,0,0,0,0,8.32,2.24,17.239,17.119,0.008065058,0.008000533,Baccharis_3_2016
Baccharis_4_2016,2016F1_13_B_4_120,2016_Fungi_1,Fungi,Baccharis,Baccharis_4,2016_B_4,Plate_1,E2,2016,1995,21,BMR,-123.06868,38.320606,30-Jun,15:58,Alive,Am,Am,L,1.6,0.7,1.8,1.366666667,8.23,2.294,17.301,17.133,0.011321518,0.011194776,Baccharis_4_2016
Baccharis_5_2016,2016F5_77_B_5_0,2016_Fungi_5,Fungi,Baccharis,Baccharis_5,2016_B_5,Plate_10,E10,2016,2012,4,BMR,-123.069213,38.320697,12-Jul,14:52,Alive,NA,NA,NA,0,0,0,0,7.44,2.301,17.299,17.266,0.002205145,0.002200293,Baccharis_5_2016
Baccharis_6_2016,2016F3_27_B_6_0,2016_Fungi_3,Fungi,Baccharis,Baccharis_6,2016_B_6,Plate_3,C4,2016,2000,16,BMR,-123.069726,38.320011,12-Jul,10:48,Alive,Am,Am,Am,1.5,1.5,1.1,1.366666667,7.33,2.283,17.282,17.198,0.005631914,0.005600373,Baccharis_6_2016
Baccharis_7_2016,2016F3_74_B_7_0,2016_Fungi_3,Fungi,Baccharis,Baccharis_7,2016_B_7,Plate_3,B10,2016,2012,4,BMR,-123.069568,38.319549,12-Jul,10:05,Alive,Am_L,Am_L,Am,0,0,0,0,8.14,2.214,17.214,17.142,0.004823151,0.0048,Baccharis_7_2016
Baccharis_8_2016,2016F3_64_B_8_0,2016_Fungi_3,Fungi,Baccharis,Baccharis_8,2016_B_8,Plate_3,H8,2016,1998,18,BMR,-123.068637,38.32048,12-Jul,14:11,Dying,Am,Am,Am_L,1.6,2.3,1,1.633333333,6.69,2.253,17.252,17.191,0.004083545,0.004066938,Baccharis_8_2016
Baccharis_9_2016,2016F1_51_B_9_0,2016_Fungi_1,Fungi,Baccharis,Baccharis_9,2016_B_9,Plate_1,C7,2016,2009,7,BMR,-123.069266,38.320066,29-Jun,15:02,Alive,Am,Am,Am,0,0,0,0,7.12,2.252,17.236,17.176,0.00402037,0.004004271,Baccharis_9_2016
Iceplant_11_2016,2016F1_75_I_11_0,2016_Fungi_1,Fungi,Iceplant,Iceplant_11,2016_I_11,Plate_1,C10,2016,2008,8,BMR,-123.069787,38.32006,28-Jun,17:50,Alive,NA,Am,Am,2.5,2.5,2.5,2.5,7.34,2.231,17.234,17.171,0.004216867,0.00419916,Iceplant_11_2016
Iceplant_13_2016,2016F5_63_I_13_0,2016_Fungi_5,Fungi,Iceplant,Iceplant_13,2016_I_13,Plate_10,G8,2016,2000,16,BMR,-123.069278,38.32008,11-Jul,14:16,Alive,Am_Br,NA,Am_Br,15,5.5,21,13.83333333,6.65,2.306,17.306,17.25,0.003747323,0.003733333,Iceplant_13_2016
Iceplant_14_2016,2016F1_12_I_14_120,2016_Fungi_1,Fungi,Iceplant,Iceplant_14,2016_I_14,Plate_1,D2,2016,2004,12,BMR,-123.069176,38.319436,28-Jun,15:00,Alive,NA,Am,Am,6,7,4,5.666666667,7.56,2.321,17.324,17.232,0.006169942,0.006132107,Iceplant_14_2016
Iceplant_15_2016,2016F1_49_I_15_0,2016_Fungi_1,Fungi,Iceplant,Iceplant_15,2016_I_15,Plate_1,A7,2016,2007,9,BMR,-123.069038,38.319359,28-Jun,14:48,Alive,Am_B,NA,Am_B,6.5,6,3.5,5.333333333,7.67,2.301,17.318,17.281,0.00246996,0.002463874,Iceplant_15_2016
Iceplant_18_2016,2016F3_51_I_18_0,2016_Fungi_3,Fungi,Iceplant,Iceplant_18,2016_I_18,Plate_3,C7,2016,2003,13,BMR,-123.069678,38.32055,12-Jul,15:42,Alive,Am_Br,Am,Am,5,6,7,6,7.12,2.373,17.376,17.322,0.003612282,0.00359928,Iceplant_18_2016
Iceplant_20_2016,2016F5_28_I_20_0,2016_Fungi_5,Fungi,Iceplant,Iceplant_20,2016_I_20,Plate_10,D4,2016,1998,18,BMR,-123.069467,38.320451,12-Jul,16:00,Alive,Am,NA,Am,9.5,6,5,6.833333333,6.95,2.3,17.298,17.245,0.003546337,0.003533805,Iceplant_20_2016
Iceplant_21_2016,2016F2_64_I_21_0,2016_Fungi_2,Fungi,Iceplant,Iceplant_21,2016_I_21,Plate_2,H8,2016,1996,20,BMR,-123.068913,38.32028,11-Jul,17:40,Alive,Am,Am,Am,16,13,25,18,6.62,2.312,17.313,17.238,0.005024789,0.004999667,Iceplant_21_2016
Iceplant_22_2016,2016F2_51_I_22_0,2016_Fungi_2,Fungi,Iceplant,Iceplant_22,2016_I_22,Plate_2,C7,2016,1995,21,Sonoma,-123.070069,38.321262,30-Jun,14:37,Dying,NA,NA,NA,3,3.5,3.5,3.333333333,6.83,2.311,17.319,17.12,0.013437774,0.013259595,Iceplant_22_2016
Iceplant_23_2016,2016F2_13_I_23_120,2016_Fungi_2,Fungi,Iceplant,Iceplant_23,2016_I_23,Plate_2,E2,2016,2002,14,Sonoma,-123.069706,38.321192,29-Jun,11:50,Alive,NA,NA,NA,6,6,6.5,6.166666667,7.13,2.168,17.16,16.977,0.01235735,0.01220651,Iceplant_23_2016
Iceplant_27_2016,2016F2_74_I_27_0,2016_Fungi_2,Fungi,Iceplant,Iceplant_27,2016_I_27,Plate_2,B10,2016,1999,17,Sonoma,-123.069189,38.320808,29-Jun,11:14,Alive,Am_B,Am_B,Am_B_L,6.8,11,9.5,9.1,7.16,2.287,17.286,17.103,0.012351512,0.012200813,Iceplant_27_2016
Iceplant_28_2016,2016F5_75_I_28_0,2016_Fungi_5,Fungi,Iceplant,Iceplant_28,2016_I_28,Plate_10,C10,2016,2006,10,Sonoma,-123.069185,38.320701,12-Jul,15:02,Dying,NA,NA,NA,4,7,6,5.666666667,7.45,2.192,17.197,17.158,0.002605907,0.002599134,Iceplant_28_2016
Iceplant_30_2016,2016F1_28_I_30_0,2016_Fungi_1,Fungi,Iceplant,Iceplant_30,2016_I_30,Plate_1,D4,2016,2011,5,Sonoma,-123.068878,38.320795,1-Jul,9:56,Dying,Am,Am,Am,4,2.5,3,3.166666667,8.23,2.355,17.357,17.191,0.011189,0.011065191,Iceplant_30_2016
Iceplant_31_2016,2016F1_63_I_31_0,2016_Fungi_1,Fungi,Iceplant,Iceplant_31,2016_I_31,Plate_1,G8,2016,2007,9,Sonoma,-123.068852,38.320608,29-Jun,17:54,Alive,Am_B,Am_B,Am,10,10,9,9.666666667,5.5,2.354,17.36,17.156,0.013781921,0.013594562,Iceplant_31_2016
Iceplant_34_2016,2016F1_31_I_34_0,2016_Fungi_1,Fungi,Iceplant,Iceplant_34,2016_I_34,Plate_1,G4,2016,2001,15,BMR,-123.070901,38.320523,29-Jun,10:08,Dying,NA,NA,NA,3.1,3.3,4.5,3.633333333,6.83,2.165,17.161,17.097,0.004286097,0.004267805,Iceplant_34_2016
Iceplant_36_2016,2016F2_2_I_36_0,2016_Fungi_2,Fungi,Iceplant,Iceplant_36,2016_I_36,Plate_2,B1,2016,1990,26,Sonoma,-123.0687,38.320537,29-Jun,17:54,Alive,Am_B,Am_B,Am,16,16,11,14.33333333,6.34,2.371,17.373,17.196,0.011939292,0.011798427,Iceplant_36_2016
Iceplant_37_2016,2016F5_64_I_37_0,2016_Fungi_5,Fungi,Iceplant,Iceplant_37,2016_I_37,Plate_10,H8,2016,1993,23,BMR,-123.069067,38.319946,11-Jul,14:25,Dying,Am,Am,Am,10,7,10,9,6.94,2.374,17.374,17.337,0.002472766,0.002466667,Iceplant_37_2016
Iceplant_38_2016,2016F5_13_I_38_120,2016_Fungi_5,Fungi,Iceplant,Iceplant_38,2016_I_38,Plate_10,E2,2016,2010,6,BMR,-123.070273,38.320925,11-Jul,17:04,Alive,Am,Am_L,Am,0,5,0,1.666666667,7.07,2.299,17.301,17.261,0.002673439,0.002666311,Iceplant_38_2016
Iceplant_41_2016,2016F3_25_I_41_0,2016_Fungi_3,Fungi,Iceplant,Iceplant_41,2016_I_41,Plate_3,A4,2016,2009,7,Sonoma,-123.067228,38.322559,13-Jul,9:30,Alive,Am,Am,Am,11,5,6,7.333333333,7.28,2.277,17.275,17.227,0.003210702,0.003200427,Iceplant_41_2016
Iceplant_42_2016,2016F3_31_I_42_0,2016_Fungi_3,Fungi,Iceplant,Iceplant_42,2016_I_42,Plate_3,G4,2016,1994,22,Sonoma,-123.067947,38.321762,13-Jul,16:32,Dying,Am,Am,Am,21,11,9.5,13.83333333,7.62,2.307,17.306,17.244,0.004150767,0.004133609,Iceplant_42_2016
