,Sample_Name,Sample_Plate_ID,Sample_Taxa,Species,Individual,Plant_ID,Primer_Plate,Primer_Plate_cell,Year_sampled,Year_arrived,Age,Location,X_cor,Y_cor,Date_collected,Time_collected,Status,L_0_note,L_120_note,L_240_note,L_0_use,L_120_use,L_240_use,L_average_use,pH,tare,soil_0,soil_72,theta_d_72,theta_w_72,Individual.New
Iceplant_9_2016,2016B1_50_I_9_0,2016_Bacteria_1,Bacteria,Iceplant,Iceplant_9,2016_I_9,Plate_5,B7,2016,2007,9,BMR,-123.070024,38.319973,28-Jun,17:00,Dying,Am,Am,Am,4.3,2,4,3.433333333,7.41,2.336,17.347,17.333,0.00093352,0.000932649,Iceplant_9_2016
Lupine_10_2016,2016B1_73_L_10_0,2016_Bacteria_1,Bacteria,Lupine,Lupine_10,2016_L_10,Plate_5,A10,2016,2010,6,BMR,-123.069879,38.319805,28-Jun,16:47,Dying,Am,Am,Am_Amb,2.1,1.1,1.2,1.466666667,7.88,2.349,17.343,17.311,0.002138752,0.002134187,Lupine_10_2016
Lupine_11_2016,2016B1_53_L_11_0,2016_Bacteria_1,Bacteria,Lupine,Lupine_11,2016_L_11,Plate_5,E7,2016,2009,7,BMR,-123.069154,38.319653,28-Jun,14:33,Dead,Am_Ice,Am,Am,1.3,2.5,1.6,1.8,8.42,2.324,17.325,17.222,0.00691368,0.006866209,Lupine_11_2016
Lupine_12_2016,2016B5_25_L_12_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_12,2016_L_12,Plate_9,A4,2016,2013,3,BMR,-123.069143,38.320611,12-Jul,14:54,Alive,Am,Am,Am,1.2,1.3,0.8,1.1,8.64,2.326,17.329,17.272,0.003813729,0.00379924,Lupine_12_2016
Lupine_13_2016,2016B5_30_L_13_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_13,2016_L_13,Plate_9,F4,2016,2004,12,Sonoma,-123.069593,38.321007,12-Jul,17:17,Alive,NA,Br_Ice,NA,3,1.9,1.7,2.2,7.5,2.382,17.381,17.31,0.004756163,0.004733649,Lupine_13_2016
Lupine_14_2016,2016B5_16_L_14_120,2016_Bacteria_5,Bacteria,Lupine,Lupine_14,2016_L_14,Plate_9,H2,2016,2007,9,Sonoma,-123.069412,38.321148,12-Jul,17:10,Alive,Am,NA,Am,0.7,0.7,1.2,0.866666667,8.34,2.225,17.224,17.165,0.00394913,0.003933596,Lupine_14_2016
Lupine_15_2016,2016B1_1_L_15_0,2016_Bacteria_1,Bacteria,Lupine,Lupine_15,2016_L_15,Plate_5,A1,2016,2009,7,Sonoma,-123.069181,38.32103,29-Jun,11:27,Alive,Am,Am,Am,1.7,1.5,1.8,1.666666667,8.56,2.296,17.303,17.201,0.006843341,0.006796828,Lupine_15_2016
Lupine_16_2016,2016B2_50_L_16_0,2016_Bacteria_2,Bacteria,Lupine,Lupine_16,2016_L_16,Plate_6,B7,2016,2007,9,Sonoma,-123.069129,38.321111,1-Jul,10:47,Dying,Am,Am,Am_B,0,0.6,0,0.2,7.91,2.274,17.271,17.166,0.007050766,0.0070014,Lupine_16_2016
Lupine_18_2016,2016B5_29_L_18_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_18,2016_L_18,Plate_9,E4,2016,2014,2,Sonoma,-123.068522,38.321866,13-Jul,16:11,Alive,Am,Am,Am,1.7,1.2,1.8,1.566666667,8.55,2.28,17.277,17.238,0.0026073,0.00260052,Lupine_18_2016
Lupine_19_2016,2016B5_73_L_19_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_19,2016_L_19,Plate_9,A10,2016,2012,4,Sonoma,-123.067983,38.321595,13-Jul,16:20,Alive,Am,Am,Am,0,1.4,0,0.466666667,8.32,2.344,17.345,17.28,0.004351901,0.004333044,Lupine_19_2016
Lupine_1_2016,2016B1_74_L_1_0,2016_Bacteria_1,Bacteria,Lupine,Lupine_1,2016_L_1,Plate_5,B10,2016,2005,11,BMR,-123.070388,38.321088,29-Jun,10:30,Alive,Am,Am,Am,0,1.8,1.2,1,8.57,2.257,17.262,17.103,0.010709956,0.010596468,Lupine_1_2016
Lupine_21_2016,2016B2_52_L_21_0,2016_Bacteria_2,Bacteria,Lupine,Lupine_21,2016_L_21,Plate_6,D7,2016,2010,6,Sonoma,-123.067739,38.322263,30-Jun,10:57,Dead,Am,Am,Am,1.5,1.7,0.6,1.266666667,7.86,2.292,17.321,17.243,0.005217042,0.005189966,Lupine_21_2016
Lupine_23_2016,2016B1_27_L_23_0,2016_Bacteria_1,Bacteria,Lupine,Lupine_23,2016_L_23,Plate_5,C4,2016,2010,6,Sonoma,-123.06796,38.321851,30-Jun,9:20,Dying,Am_B,Am,Am,1.7,1.6,1.6,1.633333333,7.75,2.318,17.321,17.231,0.006035003,0.0059988,Lupine_23_2016
Lupine_25_2016,2016B5_78_L_25_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_25,2016_L_25,Plate_9,F10,2016,2011,5,BMR,-123.069314,38.319992,11-Jul,14:50,Dead,NA,NA,NA,1.4,1.3,1.6,1.433333333,8.57,2.319,17.32,17.272,0.003210058,0.003199787,Lupine_25_2016
Lupine_26_2016,2016B3_11_L_26_120,2016_Bacteria_3,Bacteria,Lupine,Lupine_26,2016_L_26,Plate_7,C2,2016,2010,6,BMR,-123.069665,38.32063,12-Jul,15:50,Dead,Am_Ice,Am_Ice,Am,1.2,1.1,1,1.1,8.28,2.298,17.298,17.269,0.001937078,0.001933333,Lupine_26_2016
Lupine_27_2016,2016B1_76_L_27_0,2016_Bacteria_1,Bacteria,Lupine,Lupine_27,2016_L_27,Plate_5,D10,2016,2012,4,BMR,-123.069477,38.319474,28-Jun,14:04,Alive,Am,Am,Am,0.6,1.3,1,0.966666667,8.4,2.32,17.314,17.176,0.009289176,0.009203681,Lupine_27_2016
Lupine_28_2016,2016B1_85_L_28_120,2016_Bacteria_1,Bacteria,Lupine,Lupine_28,2016_L_28,Plate_5,E11,2016,2007,9,BMR,-123.070534,38.320966,29-Jun,10:20,Dying,Ice,Am,NA,2.5,2.5,1.5,2.166666667,7.09,2.296,17.297,17.141,0.010508589,0.010399307,Lupine_28_2016
Lupine_2_2016,2016B5_76_L_2_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_2,2016_L_2,Plate_9,D10,2016,2009,7,BMR,-123.070309,38.321012,11-Jul,17:14,Dying,Am,Ice,Am,0.9,1.7,2.3,1.633333333,8.49,2.258,17.256,17.215,0.002741191,0.002733698,Lupine_2_2016
Lupine_31_2016,2016B2_77_L_31_0,2016_Bacteria_2,Bacteria,Lupine,Lupine_31,2016_L_31,Plate_6,E10,2016,2009,7,Sonoma,-123.068053,38.321317,30-Jun,17:13,Dying,Am,Am,Am,1.7,2.2,2.7,2.2,8.48,2.345,17.349,17.1,0.016875635,0.016595575,Lupine_31_2016
Lupine_32_2016,2016B2_1_L_32_0,2016_Bacteria_2,Bacteria,Lupine,Lupine_32,2016_L_32,Plate_6,A1,2016,2009,7,Sonoma,-123.069302,38.320863,29-Jun,10:55,Dead,Ice,Ice,Ice,2,2.5,1.5,2,7.74,2.236,17.233,17.055,0.012011607,0.01186904,Lupine_32_2016
Lupine_33_2016,2016B2_53_L_33_0,2016_Bacteria_2,Bacteria,Lupine,Lupine_33,2016_L_33,Plate_6,E7,2016,2014,2,Sonoma,-123.068175,38.321403,30-Jun,17:02,Alive,Am,Am,Am,0,0,0,0,8.56,2.357,17.357,17.183,0.011736139,0.0116,Lupine_33_2016
Lupine_35_2016,2016B5_32_L_35_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_35,2016_L_35,Plate_9,H4,2016,2012,4,Sonoma,-123.069046,38.320913,14-Jul,10:18,Dying,Am,Br,Am,2.6,1.5,1.8,1.966666667,8.32,2.396,17.393,17.322,0.0047568,0.00473428,Lupine_35_2016
Lupine_36_2016,2016B5_49_L_36_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_36,2016_L_36,Plate_9,A7,2016,2011,5,Sonoma,-123.068841,38.320928,14-Jul,9:48,Alive,Am,Am,Am,3.5,1.9,1.5,2.3,8.4,2.346,17.346,17.302,0.002941963,0.002933333,Lupine_36_2016
Lupine_37_2016,2016B2_25_L_37_0,2016_Bacteria_2,Bacteria,Lupine,Lupine_37,2016_L_37,Plate_6,A4,2016,2014,2,Sonoma,-123.068853,38.321165,1-Jul,10:32,Alive,Am,Am,Am,0,0,0,0,8.73,2.368,17.363,17.294,0.004622806,0.004601534,Lupine_37_2016
Lupine_38_2016,2016B1_26_L_38_0,2016_Bacteria_1,Bacteria,Lupine,Lupine_38,2016_L_38,Plate_5,B4,2016,2008,8,Sonoma,-123.069151,38.321224,1-Jul,10:12,Dying,Am,Am,Am,0,0.7,0,0.233333333,8.08,2.195,17.192,17.09,0.006847936,0.00680136,Lupine_38_2016
Lupine_3_2016,2016B4_15_L_3_120,2016_Bacteria_4,Bacteria,Lupine,Lupine_3,2016_L_3,Plate_8,G2,2016,2011,5,BMR,-123.070004,38.32085,11-Jul,17:30,Alive,Am,Am,NA,0,0,0,0,8.37,2.276,17.273,17.232,0.002741375,0.00273388,Lupine_3_2016
Lupine_40_2016,2016B4_1_L_40_0_2,2016_Bacteria_4,Bacteria,Lupine,Lupine_40,2016_L_40_2,Plate_8,A1,2016,2013,3,Sonoma,-123.068648,38.320623,12-Jul,14:21,Dying,Am,Am,NA,1.2,1.1,1.3,1.2,8.23,2.4,17.4,17.344,0.003747323,0.003733333,Lupine_40_2016
Lupine_43_2016,2016B4_28_L_43_0,2016_Bacteria_4,Bacteria,Lupine,Lupine_43,2016_L_43,Plate_8,D4,2016,2005,11,Sonoma,-123.067645,38.321824,13-Jul,10:55,Dead,Br,Am_Br_Ice,Br,1.8,2.4,1.4,1.866666667,8.22,2.125,17.122,17.057,0.004353067,0.0043342,Lupine_43_2016
Lupine_44_2016,2016B3_53_L_44_0,2016_Bacteria_3,Bacteria,Lupine,Lupine_44,2016_L_44,Plate_7,E7,2016,2010,6,Sonoma,-123.067672,38.321929,13-Jul,11:48,Alive,Am_Ice,Am_Ice,Am_Ice,6.5,8,3.4,5.966666667,6.98,2.32,17.326,17.267,0.00394728,0.003931761,Lupine_44_2016
Lupine_45_2016,2016B4_27_L_45_0,2016_Bacteria_4,Bacteria,Lupine,Lupine_45,2016_L_45,Plate_8,C4,2016,2008,8,Sonoma,-123.067935,38.322057,13-Jul,11:07,Dying,Br,Br,Br,1.9,1.9,0.9,1.566666667,7.2,2.293,17.293,17.208,0.005698961,0.005666667,Lupine_45_2016
Lupine_46_2016,2016B4_49_L_46_0,2016_Bacteria_4,Bacteria,Lupine,Lupine_46,2016_L_46,Plate_8,A7,2016,2011,5,Sonoma,-123.068182,38.321958,13-Jul,14:57,Dead,Am_Br,Am,Am_Br,1.4,0,1,0.8,8.56,2.19,17.192,17.134,0.003881156,0.003866151,Lupine_46_2016
Lupine_47_2016,2016B1_14_L_47_120,2016_Bacteria_1,Bacteria,Lupine,Lupine_47,2016_L_47,Plate_5,F2,2016,2010,6,Sonoma,-123.067564,38.321625,30-Jun,10:10,Alive,Am_B,Am_B,Am_B,2.5,2,1.7,2.066666667,8.12,2.201,17.023,16.859,0.01118843,0.011064634,Lupine_47_2016
Lupine_49_2016,2016B4_73_L_49_0,2016_Bacteria_4,Bacteria,Lupine,Lupine_49,2016_L_49,Plate_8,A10,2016,2010,6,Sonoma,-123.067146,38.322062,13-Jul,10:27,Dying,Br,Ice,Br,1.4,1.4,2.1,1.633333333,7.04,2.202,17.205,17.126,0.005293487,0.005265614,Lupine_49_2016
Lupine_4_2016,2016B1_16_L_4_120,2016_Bacteria_1,Bacteria,Lupine,Lupine_4,2016_L_4,Plate_5,H2,2016,2008,8,BMR,-123.06975,38.320792,29-Jun,10:40,Alive,Am,Am,Am,0,0,1.3,0.433333333,8.51,2.321,17.324,17.153,0.011529126,0.01139772,Lupine_4_2016
Lupine_50_2016,2016B5_31_L_50_0,2016_Bacteria_5,Bacteria,Lupine,Lupine_50,2016_L_50,Plate_9,G4,2016,2014,2,Sonoma,-123.067225,38.322529,13-Jul,9:31,Alive,Am,Am,Am,1.2,0.8,1.1,1.033333333,8.23,2.183,17.182,17.141,0.002741008,0.002733516,Lupine_50_2016
Lupine_51_2016,2016B2_30_L_51_0,2016_Bacteria_2,Bacteria,Lupine,Lupine_51,2016_L_51,Plate_6,F4,2016,2008,8,BMR,-123.07007,38.320025,28-Jun,17:13,Alive,NA,Ice,Ice,0,0,2.8,0.933333333,7.34,2.38,17.375,17.19,0.01249156,0.012337446,Lupine_51_2016
Lupine_53_2016,2016B2_11_L_53_120,2016_Bacteria_2,Bacteria,Lupine,Lupine_53,2016_L_53,Plate_6,C2,2016,2009,7,BMR,-123.069549,38.320066,28-Jun,16:30,Dying,NA,Am_B,Ice,1.9,2.2,1.3,1.8,7.63,2.247,17.242,17.122,0.008067227,0.008002668,Lupine_53_2016
